hierarchy,compare_seed_a,compare_seed_b,field,value_a,value_b,status
cpu_core_weighted,0,1,boosting_type_default,gbdt,gbdt,equal
cpu_core_weighted,0,1,colsample_bytree_default,1.0,1.0,equal
cpu_core_weighted,0,1,explicit_feature_fraction_passed,False,False,equal
cpu_core_weighted,0,1,explicit_subsample_passed,False,False,equal
cpu_core_weighted,0,1,learning_rate,0.03,0.03,equal
cpu_core_weighted,0,1,max_depth,-1,-1,equal
cpu_core_weighted,0,1,n_estimators,300,300,equal
cpu_core_weighted,0,1,n_jobs,-1,-1,equal
cpu_core_weighted,0,1,num_leaves,31,31,equal
cpu_core_weighted,0,1,random_state,0,1,intentionally_different_seed_field
cpu_core_weighted,0,1,subsample_default,1.0,1.0,equal
cpu_core_weighted,0,1,subsample_freq_default,0,0,equal
cpu_core_weighted,0,1,verbosity,-1,-1,equal
cpu_core_weighted,0,2,boosting_type_default,gbdt,gbdt,equal
cpu_core_weighted,0,2,colsample_bytree_default,1.0,1.0,equal
cpu_core_weighted,0,2,explicit_feature_fraction_passed,False,False,equal
cpu_core_weighted,0,2,explicit_subsample_passed,False,False,equal
cpu_core_weighted,0,2,learning_rate,0.03,0.03,equal
cpu_core_weighted,0,2,max_depth,-1,-1,equal
cpu_core_weighted,0,2,n_estimators,300,300,equal
cpu_core_weighted,0,2,n_jobs,-1,-1,equal
cpu_core_weighted,0,2,num_leaves,31,31,equal
cpu_core_weighted,0,2,random_state,0,2,intentionally_different_seed_field
cpu_core_weighted,0,2,subsample_default,1.0,1.0,equal
cpu_core_weighted,0,2,subsample_freq_default,0,0,equal
cpu_core_weighted,0,2,verbosity,-1,-1,equal
memory_um,0,1,boosting_type_default,gbdt,gbdt,equal
memory_um,0,1,colsample_bytree_default,1.0,1.0,equal
memory_um,0,1,explicit_feature_fraction_passed,False,False,equal
memory_um,0,1,explicit_subsample_passed,False,False,equal
memory_um,0,1,learning_rate,0.05,0.05,equal
memory_um,0,1,max_depth,-1,-1,equal
memory_um,0,1,n_estimators,100,100,equal
memory_um,0,1,n_jobs,-1,-1,equal
memory_um,0,1,num_leaves,15,15,equal
memory_um,0,1,random_state,0,1,intentionally_different_seed_field
memory_um,0,1,subsample_default,1.0,1.0,equal
memory_um,0,1,subsample_freq_default,0,0,equal
memory_um,0,1,verbosity,-1,-1,equal
memory_um,0,2,boosting_type_default,gbdt,gbdt,equal
memory_um,0,2,colsample_bytree_default,1.0,1.0,equal
memory_um,0,2,explicit_feature_fraction_passed,False,False,equal
memory_um,0,2,explicit_subsample_passed,False,False,equal
memory_um,0,2,learning_rate,0.05,0.05,equal
memory_um,0,2,max_depth,-1,-1,equal
memory_um,0,2,n_estimators,100,100,equal
memory_um,0,2,n_jobs,-1,-1,equal
memory_um,0,2,num_leaves,15,15,equal
memory_um,0,2,random_state,0,2,intentionally_different_seed_field
memory_um,0,2,subsample_default,1.0,1.0,equal
memory_um,0,2,subsample_freq_default,0,0,equal
memory_um,0,2,verbosity,-1,-1,equal
