hierarchy,fold,horizon,n_test_equal,yt_test_equal_across_seeds,n_test
cpu_core_weighted,0,1,True,True,4847
cpu_core_weighted,0,8,True,True,4295
cpu_core_weighted,0,16,True,True,3707
cpu_core_weighted,1,1,True,True,5261
cpu_core_weighted,1,8,True,True,4778
cpu_core_weighted,1,16,True,True,4317
cpu_core_weighted,2,1,True,True,4852
cpu_core_weighted,2,8,True,True,4341
cpu_core_weighted,2,16,True,True,3798
memory_um,0,1,True,True,8276
memory_um,0,8,True,True,8269
memory_um,0,16,True,True,8261
memory_um,1,1,True,True,8276
memory_um,1,8,True,True,8269
memory_um,1,16,True,True,8261
memory_um,2,1,True,True,8279
memory_um,2,8,True,True,8272
memory_um,2,16,True,True,8264
