run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,source_experiment_freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,prediction_hash,model_kwargs,summing_matrix_hash,wall_train_sec_sum,top_mae_independent
base__cpu_core_weighted__f0__h1__dlinear__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,1,32,dlinear,1,b4bd4ea079bd42a1,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,2.0005544169998757,312.74972007357223
base__cpu_core_weighted__f0__h1__dlinear__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,1,32,dlinear,2,762dcaf69c165e33,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,1.1057155009984854,316.5820837892716
base__cpu_core_weighted__f0__h8__dlinear__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,8,32,dlinear,1,618fe6bdd6bbba47,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,1.1749900419981714,307.5298870240003
base__cpu_core_weighted__f0__h8__dlinear__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,8,32,dlinear,2,b004bf027da0e394,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,1.3317451249968144,315.1904535860228
base__cpu_core_weighted__f0__h16__dlinear__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,16,32,dlinear,1,9c775b3387fbb49f,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,1.3424882930012243,311.96902692821976
base__cpu_core_weighted__f0__h16__dlinear__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,0,16,32,dlinear,2,3cfafc32772429ec,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,1.3418617050028845,313.13619809782153
base__cpu_core_weighted__f1__h1__dlinear__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,1,1,32,dlinear,1,667785433f6497b5,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,1.6446098739979789,242.64833231768657
base__cpu_core_weighted__f1__h1__dlinear__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,1,1,32,dlinear,2,ecabc66632aa7519,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,2.1918450850025692,243.01432729285253
base__cpu_core_weighted__f1__h8__dlinear__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,1,8,32,dlinear,1,b8984c1710198ff7,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,1.9278008339970256,244.75094393649135
base__cpu_core_weighted__f1__h8__dlinear__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,1,8,32,dlinear,2,52fee8d9db3bc98b,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,2.2742762509951717,245.29954034929168
base__cpu_core_weighted__f1__h16__dlinear__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,1,16,32,dlinear,1,51dbf0a447e6d4ac,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,1.9202935840039572,244.1864809960608
base__cpu_core_weighted__f1__h16__dlinear__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,1,16,32,dlinear,2,8e64312ee67eab8a,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,1.9811615019971216,242.7718505845469
base__cpu_core_weighted__f2__h1__dlinear__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,2,1,32,dlinear,1,7accfc1ed5af2904,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,1.9200854979972064,326.85567001475346
base__cpu_core_weighted__f2__h1__dlinear__s2,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,2,1,32,dlinear,2,8d4b5beb2719591d,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,2.628842790993076,325.6234470883823
base__cpu_core_weighted__f2__h8__dlinear__s1,final_robustness_extension,True,robustness_extension,bb6e12a267e3121c689224c66f605eb9efc63384,final-robustness-extension-freeze-v2,experiment-freeze-v2,bf06dc0e7fe6ff5e,f19707c2a6f24478,dlinear_seed_robustness,ecd66cd4bc4a7770,cpu_core_weighted,2,8,32,dlinear,1,1f84d6a868eeecfb,"{""epochs"": 40, ""max_batches_per_epoch"": 200, ""num_threads"": 1, ""patience"": 5, ""timeout_sec"": 180}",abe0cd1cb9555ccb,2.2481279999956314,329.78646386123035
