family,hierarchy,model_a,method_a,model_b,method_b,seed,fold,horizon,relative_mae_diff,rel_ci_low,rel_ci_high,rel_ci_crosses_zero,prob_improvement,p_value_raw
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,0,1,-0.17002334463456456,-0.20470627758300433,-0.13620594666879282,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,0,1,-0.17002334463456456,-0.20470627758300433,-0.13620594666879282,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,0,1,-0.17002334463456456,-0.20470627758300433,-0.13620594666879282,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,0,8,-0.16541779371694204,-0.2024231964510074,-0.12790093068860167,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,0,8,-0.16541779371694204,-0.2024231964510074,-0.12790093068860167,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,0,8,-0.16541779371694204,-0.2024231964510074,-0.12790093068860167,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,0,16,-0.16052513465116502,-0.1998065511215779,-0.12217017525316876,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,0,16,-0.16052513465116502,-0.1998065511215779,-0.12217017525316876,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,0,16,-0.16052513465116502,-0.1998065511215779,-0.12217017525316876,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,1,1,-0.1856306009050359,-0.2311243990081279,-0.14663314238616165,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,1,1,-0.1856306009050359,-0.2311243990081279,-0.14663314238616165,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,1,1,-0.1856306009050359,-0.2311243990081279,-0.14663314238616165,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,1,8,-0.18076069174719683,-0.2278949838208484,-0.1390376919163449,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,1,8,-0.18076069174719683,-0.2278949838208484,-0.1390376919163449,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,1,8,-0.18076069174719683,-0.2278949838208484,-0.1390376919163449,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,1,16,-0.17424158876402265,-0.2244955948781718,-0.13211096273688813,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,1,16,-0.17424158876402265,-0.2244955948781718,-0.13211096273688813,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,1,16,-0.17424158876402265,-0.2244955948781718,-0.13211096273688813,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,2,1,-0.17011009105182567,-0.20057800460702346,-0.13926049272495333,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,2,1,-0.17011009105182567,-0.20057800460702346,-0.13926049272495333,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,2,1,-0.17011009105182567,-0.20057800460702346,-0.13926049272495333,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,2,8,-0.18106307271015104,-0.21261830832448983,-0.14815322963047464,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,2,8,-0.18106307271015104,-0.21261830832448983,-0.14815322963047464,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,2,8,-0.18106307271015104,-0.21261830832448983,-0.14815322963047464,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,0,2,16,-0.17291480284793184,-0.2047574117204474,-0.14171207227020446,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,1,2,16,-0.17291480284793184,-0.2047574117204474,-0.14171207227020446,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ridge,independent,2,2,16,-0.17291480284793184,-0.2047574117204474,-0.14171207227020446,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,0,1,-0.21962685968817477,-0.25399127496981433,-0.18754513185948762,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,0,1,-0.21962685968817477,-0.25399127496981433,-0.18754513185948762,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,0,1,-0.21962685968817477,-0.25399127496981433,-0.18754513185948762,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,0,8,-0.21698445574796368,-0.2536599629711498,-0.17728769044954687,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,0,8,-0.21698445574796368,-0.2536599629711498,-0.17728769044954687,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,0,8,-0.21698445574796368,-0.2536599629711498,-0.17728769044954687,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,0,16,-0.2048623769626853,-0.2468346943069726,-0.16369096852567536,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,0,16,-0.2048623769626853,-0.2468346943069726,-0.16369096852567536,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,0,16,-0.2048623769626853,-0.2468346943069726,-0.16369096852567536,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,1,1,-0.22215882824986574,-0.2656038443980737,-0.1797416583924537,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,1,1,-0.22215882824986574,-0.2656038443980737,-0.1797416583924537,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,1,1,-0.22215882824986574,-0.2656038443980737,-0.1797416583924537,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,1,8,-0.21973926015324893,-0.2658502156787064,-0.17432694012185276,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,1,8,-0.21973926015324893,-0.2658502156787064,-0.17432694012185276,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,1,8,-0.21973926015324893,-0.2658502156787064,-0.17432694012185276,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,1,16,-0.21794985122675417,-0.2710082593797069,-0.17013333394439858,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,1,16,-0.21794985122675417,-0.2710082593797069,-0.17013333394439858,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,1,16,-0.21794985122675417,-0.2710082593797069,-0.17013333394439858,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,2,1,-0.20680254693258568,-0.2446481852745356,-0.1671913945146805,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,2,1,-0.20680254693258568,-0.2446481852745356,-0.1671913945146805,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,2,1,-0.20680254693258568,-0.2446481852745356,-0.1671913945146805,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,2,8,-0.21895733311322735,-0.2568667719037492,-0.17812118636818686,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,2,8,-0.21895733311322735,-0.2568667719037492,-0.17812118636818686,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,2,8,-0.21895733311322735,-0.2568667719037492,-0.17812118636818686,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,0,2,16,-0.21414464111850537,-0.25206508744040385,-0.1731362795066006,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,1,2,16,-0.21414464111850537,-0.25206508744040385,-0.1731362795066006,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,ewma,independent,2,2,16,-0.21414464111850537,-0.25206508744040385,-0.1731362795066006,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,0,1,-0.21891516417759282,-0.2523960863177465,-0.18860162536226757,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,0,1,-0.21891516417759282,-0.2523960863177465,-0.18860162536226757,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,0,1,-0.21891516417759282,-0.2523960863177465,-0.18860162536226757,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,0,8,-0.21636592447249614,-0.25193775069026203,-0.17850625588932928,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,0,8,-0.21636592447249614,-0.25193775069026203,-0.17850625588932928,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,0,8,-0.21636592447249614,-0.25193775069026203,-0.17850625588932928,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,0,16,-0.20546108155963277,-0.247328327283249,-0.16567714258558763,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,0,16,-0.20546108155963277,-0.247328327283249,-0.16567714258558763,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,0,16,-0.20546108155963277,-0.247328327283249,-0.16567714258558763,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,1,1,-0.22805418789303677,-0.2721814729199273,-0.18721534316603097,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,1,1,-0.22805418789303677,-0.2721814729199273,-0.18721534316603097,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,1,1,-0.22805418789303677,-0.2721814729199273,-0.18721534316603097,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,1,8,-0.22529693937513842,-0.2729855459483248,-0.18021810819852743,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,1,8,-0.22529693937513842,-0.2729855459483248,-0.18021810819852743,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,1,8,-0.22529693937513842,-0.2729855459483248,-0.18021810819852743,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,1,16,-0.2219861779883524,-0.27518614002510544,-0.1756392551275922,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,1,16,-0.2219861779883524,-0.27518614002510544,-0.1756392551275922,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,1,16,-0.2219861779883524,-0.27518614002510544,-0.1756392551275922,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,2,1,-0.20461546205531878,-0.24063477729362967,-0.166984950722408,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,2,1,-0.20461546205531878,-0.24063477729362967,-0.166984950722408,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,2,1,-0.20461546205531878,-0.24063477729362967,-0.166984950722408,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,2,8,-0.2163101104165614,-0.25254913925476385,-0.176897373620951,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,2,8,-0.2163101104165614,-0.25254913925476385,-0.176897373620951,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,2,8,-0.2163101104165614,-0.25254913925476385,-0.176897373620951,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,0,2,16,-0.21202760673393867,-0.24858997035975275,-0.17257741330359072,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,1,2,16,-0.21202760673393867,-0.24858997035975275,-0.17257741330359072,False,1.0,0.0
cpu_lightgbm_vs_deterministic,cpu_core_weighted,lightgbm,independent,persistence,independent,2,2,16,-0.21202760673393867,-0.24858997035975275,-0.17257741330359072,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,0,0,1,-0.09330899256243341,-0.1310077321095921,-0.055331543094769085,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,1,0,1,-0.09330899256243341,-0.1310077321095921,-0.055331543094769085,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,bottom_up,lightgbm,independent,2,0,1,-0.09330899256243341,-0.1310077321095921,-0.055331543094769085,False,1.0,0.0
