hierarchy,fold,horizon,mae_persistence,mae_ewma,mae_ridge,mae_lightgbm,mae_dlinear,strongest_deterministic,strongest_observed,cpu_comparator_policy,model,role,note
cpu_core_weighted,0.0,1.0,1.4204331179186942,1.4217285441973344,1.3367590058514771,1.1094787687062333,1.3150739218475103,ridge,lightgbm,ridge,,,
cpu_core_weighted,0.0,8.0,1.3906675083299915,1.3917660450755172,1.3057724440469332,1.08977444725631,1.2969408053016054,ridge,lightgbm,ridge,,,
cpu_core_weighted,0.0,16.0,1.4060271584162536,1.404968480146244,1.3307644384106911,1.117143297745833,1.3105642612208253,ridge,lightgbm,ridge,,,
cpu_core_weighted,1.0,1.0,1.0957052557717806,1.0874007627977798,1.038625818254724,0.845825083496615,1.0373307869955866,ridge,lightgbm,ridge,,,
cpu_core_weighted,1.0,8.0,1.1125931579402315,1.1046683251753342,1.0521093360678941,0.8619293246865777,1.033701682753594,ridge,lightgbm,ridge,,,
cpu_core_weighted,1.0,16.0,1.1116127835890857,1.105875514139072,1.0473403583775331,0.8648501103571508,1.0368843629622826,ridge,lightgbm,ridge,,,
cpu_core_weighted,2.0,1.0,1.4448569341568862,1.4488408409865015,1.3847823097729834,1.1492168649705437,1.3941457895497487,ridge,lightgbm,ridge,,,
cpu_core_weighted,2.0,8.0,1.4445949212341345,1.4494911511395026,1.3824195693083972,1.132114434314775,1.386602939663177,ridge,lightgbm,ridge,,,
cpu_core_weighted,2.0,16.0,1.465749503775071,1.4696981211174147,1.3964343073665617,1.1549701444181844,1.386207757726186,ridge,lightgbm,ridge,,,
memory_um,0.0,1.0,1294154012.0869985,1286777035.5287719,1358694507.6124406,1848635679.4026902,1288970217.5265772,ewma,ewma,ewma,,,
memory_um,0.0,8.0,1291570370.298706,1284254786.1130323,1357156730.2391167,1526324191.3500135,1351523873.7521622,ewma,ewma,ewma,,,
memory_um,0.0,16.0,1285438902.927975,1278392838.9775565,1353419666.8608923,1735274052.5911322,1349931371.2096462,ewma,ewma,ewma,,,
memory_um,1.0,1.0,843922661.6452392,834534180.4979616,834422178.6472346,1352577183.8579013,836589801.3086051,ridge,ridge,ewma,,,
memory_um,1.0,8.0,844465442.1477809,835071934.4879591,835005834.3233938,1349230704.7903304,836114125.5450646,ridge,ridge,ewma,,,
memory_um,1.0,16.0,844976853.3901465,835569802.7322348,835539072.0094448,1348125215.317614,846438532.3283072,ridge,ridge,ewma,,,
memory_um,2.0,1.0,1042314122.8689455,1034898874.6414589,1062872941.5920458,1263368437.7287288,1048733686.1079497,ewma,ewma,ewma,,,
memory_um,2.0,8.0,1043003720.7891682,1035591176.3913442,1063739741.8137753,1262294522.4928114,1047041227.013701,ewma,ewma,ewma,,,
memory_um,2.0,16.0,1043733133.2584704,1036338955.8872703,1065098498.0995754,1266339742.2184117,1056253575.3982915,ewma,ewma,ewma,,,
disk_ud,,,,,,,,,,,persistence,disk_baseline_reporting_only,no multi-seed; EWMA completes Gate 2
disk_ud,,,,,,,,,,,ewma,disk_baseline_reporting_only,no multi-seed; EWMA completes Gate 2
disk_ud,,,,,,,,,,,ridge,disk_baseline_reporting_only,no multi-seed; EWMA completes Gate 2
