run_id,experiment_stage,eligible_for_final_claims,evaluation_role,scope,target,model,horizon,context,seed,mae,rmse,mse,smape,mape,mape_fraction_excluded,mase,r2,nrmse,medae,maxae,peak_recall,peak_precision,training_time_sec,inference_time_sec,n_parameters,runtime_sec,n_test_windows
local__averageRttWithGoogleDns__h1__c32__ewma__seed0,pilot,False,development_benchmark,local,averageRttWithGoogleDns,ewma,1,32,0,0.3062369435141261,1.195529881863154,1.429291698427727,6.363008186586929,6.812845804178661,0.0,,0.5851001071824173,0.0378416067439988,0.0230610430357347,18.951957071714677,,,6.669997674180195e-07,0.0002450420006425,1,1.6991918339999756,4922
local__averageRttWithGoogleDns__h1__c32__ewma__seed1,pilot,False,development_benchmark,local,averageRttWithGoogleDns,ewma,1,32,1,0.3062369435141261,1.195529881863154,1.429291698427727,6.363008186586929,6.812845804178661,0.0,,0.5851001071824173,0.0378416067439988,0.0230610430357347,18.951957071714677,,,5.829997462569736e-07,0.0002430419999654,1,1.633704625000064,4922
local__averageRttWithGoogleDns__h1__c32__dlinear__seed1,pilot,False,development_benchmark,local,averageRttWithGoogleDns,dlinear,1,32,1,0.3198681488703636,1.2556391136949605,1.5766295838406652,6.654407909329536,6.970720509827584,0.0,,0.5423303402180929,0.0397442190895122,0.0315646858215332,19.587829483032227,,,0.2596319160002167,0.0010254580001856,66,1.8974307090002185,4922
local__averageRttWithGoogleDns__h1__c32__persistence__seed0,pilot,False,development_benchmark,local,averageRttWithGoogleDns,persistence,1,32,0,0.3205548557496953,1.3833576404670052,1.91367836143844,5.839947325903189,6.898056361696228,0.0,,0.4444906187298587,0.0437868401375939,0.016,18.982,,,1.6250000044237822e-05,7.079997885739431e-07,0,1.6837023750003937,4922
local__averageRttWithGoogleDns__h1__c32__persistence__seed1,pilot,False,development_benchmark,local,averageRttWithGoogleDns,persistence,1,32,1,0.3205548557496953,1.3833576404670052,1.91367836143844,5.839947325903189,6.898056361696228,0.0,,0.4444906187298587,0.0437868401375939,0.016,18.982,,,1.6832999790494796e-05,3.749992174562067e-07,0,1.6680152919998363,4922
local__averageRttWithGoogleDns__h1__c32__dlinear__seed0,pilot,False,development_benchmark,local,averageRttWithGoogleDns,dlinear,1,32,0,0.3244487057576961,1.2584198104460378,1.583620419323042,6.757412447211561,7.15018423407755,0.0,,0.5403010155564203,0.0398322353194074,0.0350062274932863,18.92040310287475,,,0.20618554199973,0.0010876249998545,66,1.9138292500001624,4922
local__averageRttWithGoogleDns__h1__c32__ridge__seed0,pilot,False,development_benchmark,local,averageRttWithGoogleDns,ridge,1,32,0,0.3537522398116554,1.271534318532651,1.6167995232062933,7.848521079045264,8.149148300592225,0.0,,0.5306696669240258,0.0402473433524088,0.0727387221348019,21.404273917292898,,,0.0032479580004292,0.0001206659999297,65,1.6772949579999477,4922
local__averageRttWithGoogleDns__h1__c32__ridge__seed1,pilot,False,development_benchmark,local,averageRttWithGoogleDns,ridge,1,32,1,0.3537522398116554,1.271534318532651,1.6167995232062933,7.848521079045264,8.149148300592225,0.0,,0.5306696669240258,0.0402473433524088,0.0727387221348019,21.404273917292898,,,0.0029951249998703,0.0003430409997235,65,1.772525083999426,4922
local__averageRttWithGoogleDns__h1__c32__lstm__seed0,pilot,False,development_benchmark,local,averageRttWithGoogleDns,lstm,1,32,0,0.3894441434041797,1.605791940950341,2.5785677576210633,8.130864491316233,7.979504141310256,0.0,,0.251484152999192,0.0508274599104339,0.0735285682678223,27.815779495239255,,,14.65438370799984,0.1070060840002042,17473,16.506388374999915,4922
local__averageRttWithGoogleDns__h1__c32__lstm__seed1,pilot,False,development_benchmark,local,averageRttWithGoogleDns,lstm,1,32,1,0.4153620635505034,1.6913841159728202,2.860780227765159,8.929183084515994,8.506989878304092,0.0,,0.1695625104517863,0.0535366731862381,0.1143277826309203,29.190192985534665,,,10.65933912499986,0.113126917000045,17473,12.563837415999842,4922
