target,model,horizon,context,n_seeds,mae_mean,mae_std,rmse_mean,rmse_std,mase_mean,mase_std,r2_mean,r2_std,train_time_mean,infer_time_mean
averageRttWithGoogleDns,dlinear,1,32,2,0.3221584273140298,0.0032389428366435546,1.2570294620704991,0.001966249529110148,,,0.5413156778872565,0.0014349492294978344,0.23290872899997334,0.00105654150002005
averageRttWithGoogleDns,dlinear,8,32,2,0.3686236505506725,0.002802630982038228,1.529017215512848,0.005530485028414246,,,0.3572569102732758,0.004649598116090225,0.22512993699956496,0.0010416250001981
averageRttWithGoogleDns,ewma,1,32,2,0.3062369435141261,0.0,1.195529881863154,0.0,,,0.5851001071824173,0.0,6.249997568374965e-07,0.00024404200030394999
averageRttWithGoogleDns,ewma,8,32,2,0.3457607019364708,0.0,1.4079537338227082,0.0,,,0.4550124357268713,0.0,1.1255001481913496e-06,0.00025520850022074995
averageRttWithGoogleDns,lightgbm,1,32,2,0.445473655884999,0.0,1.4235835583163332,0.0,,,0.4117141826882294,0.0,0.3723899790002178,0.007744042000012949
averageRttWithGoogleDns,lightgbm,8,32,2,0.4834343140662396,0.0,1.6366243744344349,0.0,,,0.2636100470197335,0.0,3.3002268754999022,0.06280618749951825
averageRttWithGoogleDns,lstm,1,32,2,0.40240310347734154,0.018326737089716955,1.6485880284615806,0.06052280737490094,,,0.21052333172548915,0.05792734897121097,12.65686141649985,0.11006650050012459
averageRttWithGoogleDns,lstm,8,32,2,0.45649195545900867,0.049098462807100576,1.7465998364232946,0.008470534830407704,,,0.1613094254883857,0.008134747332220494,23.59166493800012,0.14158435450008255
averageRttWithGoogleDns,persistence,1,32,2,0.3205548557496953,0.0,1.3833576404670052,0.0,,,0.4444906187298587,0.0,1.654149991736631e-05,5.414995030150749e-07
averageRttWithGoogleDns,persistence,8,32,2,0.3641965157680569,0.0,1.6132576702610637,0.0,,,0.2844873735365593,0.0,4.4938000428373925e-05,3.704150003613904e-05
averageRttWithGoogleDns,ridge,1,32,2,0.3537522398116554,0.0,1.271534318532651,0.0,,,0.5306696669240258,0.0,0.00312154150014975,0.00023185349982660002
averageRttWithGoogleDns,ridge,8,32,2,0.402149365090403,0.0,1.540382199588584,0.0,,,0.3476708175766083,0.0,0.0234788749999097,0.0011227709997001
averageRttWithGoogleDns,xgboost,1,32,2,0.601184914919091,0.0,2.0865130439222597,0.0,,,-0.2637601582071061,0.0,0.8558075619998817,0.00333218750029115
averageRttWithGoogleDns,xgboost,8,32,2,0.6293718411132738,0.0,2.1207077816287256,0.0,,,-0.2364355536329523,0.0,7.509131874499872,0.02937297950029455
cluster_UM,dlinear,1,32,2,123449039474.71942,28006518720.373306,123530309361.16336,28007618105.046593,123.03406541167398,27.91237478118508,-718.5483011177632,318.10550323202,0.18992233349990778,0.0010849585000868999
cluster_UM,dlinear,4,32,1,157703698298.10544,,160517129875.1389,,157.17357716700133,,-1182.936393983315,,0.1756467499999416,0.0010488750003787
cluster_UM,dlinear,8,32,2,117682162047.06529,29101958809.470066,132750775247.25645,25486244470.854992,117.28657334795159,29.00413254738546,-823.1464486892137,310.72221464747497,0.27075560449975455,0.0010194584997407
cluster_UM,drift,1,32,1,1163200625.0858088,,3879219444.1695743,,1.1592905250835508,,0.3082006052989045,,4.169996827840805e-07,2.8374999601510353e-05
cluster_UM,drift,4,32,1,1773659584.04712,,4927916936.345571,,1.7676974256764812,,-0.1158668020615949,,4.160001481068321e-07,6.287499945756281e-05
cluster_UM,ewma,1,32,2,1313275096.6023583,0.0,3709788040.461573,0.0,1.308860521122044,0.0,0.3673118864028278,0.0,5.420001798484009e-07,0.00044183299951320004
cluster_UM,ewma,4,32,1,1669245053.0026,,4309760019.94972,,1.6636338841769014,,0.1465230913081161,,5.000001692678779e-07,0.0002493330002835
cluster_UM,ewma,8,32,2,1939730114.432161,0.0,4747102981.043423,0.0,1.9332097098164387,0.0,-0.0348006757825345,0.0,5.830002010043245e-07,0.00027406250001145004
cluster_UM,historical_mean,1,32,1,2014533781.9890983,,4845686042.5540905,,2.0077619247740777,,-0.0794487464444639,,1.566700029798085e-05,1.3749995559919626e-06
cluster_UM,historical_mean,4,32,1,2015245844.543777,,4847128180.956691,,2.0084715937298045,,-0.079579449224558,,2.5834000553004444e-05,3.500000275380444e-06
cluster_UM,lightgbm,1,32,2,1161892743.8392873,27473748.518918764,3384308758.822058,21234302.074244455,1.1579870402810775,0.02738139548726668,0.4734495526970175,0.006607382466985584,0.2631299169997874,0.00252591649996245
cluster_UM,lightgbm,4,32,1,1545231001.7820466,,3948874126.92606,,1.5400367063069118,,0.2834736262022818,,0.67708841700005,0.0082365419993948
cluster_UM,lightgbm,8,32,2,1778892495.1504622,0.0,4198872783.42433,0.0,1.7729127463441965,0.0,0.1904105675895742,0.0,2.5110155625002335,0.029179374999785
cluster_UM,lstm,1,32,2,120793359539.75198,0.31013067263733607,120883366001.64832,0.30989330158648676,120.38731254732168,3.0907458460285157e-10,-670.7761338745636,3.444215108684606e-09,5.2334478544999,0.11740681250012125
cluster_UM,lstm,8,32,2,120795982278.04929,0.1267129827614565,120886088788.00897,0.1266104815109435,120.3899264692817,1.2629070093272118e-10,-670.0456264166224,1.4056774007062779e-09,5.5405577084998185,0.11993458349979841
cluster_UM,moving_average,1,32,1,1648527355.8659668,,4188888741.8522496,,1.6429858295988031,,0.1933425803726469,,1.1250003808527254e-06,0.0001431250002497
cluster_UM,moving_average,4,32,1,1884252805.3516464,,4617135587.2717705,,1.8779188877629096,,0.0204404208084038,,9.169998520519584e-07,0.0001637909999772
cluster_UM,persistence,1,32,2,1119681361.1303997,0.0,3812663627.801737,0.0,1.1159175511751211,0.0,0.3317353867803545,0.0,1.662499971644138e-05,4.58000158687355e-07
cluster_UM,persistence,4,32,1,1619313889.648152,,4669710932.251469,,1.6138705644753315,,-0.0019950918966835,,2.949999998236308e-05,2.8542000109155197e-05
cluster_UM,persistence,8,32,2,1991975295.3531432,0.0,5272294406.260992,0.0,1.9852792685123015,0.0,-0.2764349999822082,0.0,4.908350001642248e-05,3.704150049088639e-05
cluster_UM,ridge,1,32,2,1158239587.6283376,0.0,3427370793.8396645,0.0,1.154346164158189,0.0,0.4599752494933536,0.0,0.0017697504999887,8.916650040191598e-05
cluster_UM,ridge,4,32,1,1500638419.8124874,,3960287447.510822,,1.4955940223438526,,0.2793257282487605,,0.0064536659992882,0.0003232919998481
cluster_UM,ridge,8,32,2,1693538922.612974,0.0,4213741537.788544,0.0,1.6878460899215846,0.0,0.1846666928129285,0.0,0.010152291499707599,0.0006459374999394499
