target,horizon,model,mae,rmse,r2
averageRttWithGoogleDns,1,dlinear,0.3221584273140298,1.2570294620704991,0.5413156778872565
averageRttWithGoogleDns,1,lightgbm,0.445473655884999,1.4235835583163332,0.4117141826882294
averageRttWithGoogleDns,1,persistence,0.3205548557496953,1.3833576404670052,0.4444906187298587
averageRttWithGoogleDns,1,ridge,0.3537522398116554,1.271534318532651,0.5306696669240258
averageRttWithGoogleDns,8,dlinear,0.3686236505506725,1.529017215512848,0.3572569102732758
averageRttWithGoogleDns,8,lightgbm,0.4834343140662396,1.6366243744344349,0.2636100470197335
averageRttWithGoogleDns,8,persistence,0.3641965157680569,1.6132576702610637,0.2844873735365593
averageRttWithGoogleDns,8,ridge,0.402149365090403,1.540382199588584,0.3476708175766083
cluster_UM,1,dlinear,123449039474.71942,123530309361.16336,-718.5483011177632
cluster_UM,1,lightgbm,1161892743.8392873,3384308758.822058,0.4734495526970175
cluster_UM,1,persistence,1119681361.1303997,3812663627.801737,0.3317353867803545
cluster_UM,1,ridge,1158239587.6283376,3427370793.8396645,0.4599752494933536
cluster_UM,4,dlinear,157703698298.10544,160517129875.1389,-1182.936393983315
cluster_UM,4,lightgbm,1545231001.7820466,3948874126.92606,0.2834736262022818
cluster_UM,4,persistence,1619313889.648152,4669710932.251469,-0.0019950918966835
cluster_UM,4,ridge,1500638419.8124874,3960287447.510822,0.2793257282487605
cluster_UM,8,dlinear,117682162047.06529,132750775247.25645,-823.1464486892137
cluster_UM,8,lightgbm,1778892495.1504622,4198872783.42433,0.1904105675895742
cluster_UM,8,persistence,1991975295.3531432,5272294406.260992,-0.2764349999822082
cluster_UM,8,ridge,1693538922.612974,4213741537.788544,0.1846666928129285
cluster_mean_CU,1,dlinear,1.38640172368066,3.0202427036927046,0.49361822254771043
cluster_mean_CU,1,lightgbm,1.1517693053776599,2.541457024676337,0.6414568440752049
cluster_mean_CU,1,persistence,1.421018713915566,3.3119138672508623,0.3911440201995528
cluster_mean_CU,1,ridge,1.3935553602445252,2.967076236593113,0.5113319790441837
cluster_mean_CU,4,dlinear,1.6998969355393585,3.7358819303912782,0.2256896147891687
cluster_mean_CU,4,lightgbm,1.4880666931847275,3.304542502622641,0.3941690115872323
cluster_mean_CU,4,persistence,1.991979444902721,4.787488300400313,-0.271581646866569
cluster_mean_CU,4,ridge,1.7050936626718265,3.6614166790116793,0.2562497738245136
cluster_mean_CU,8,dlinear,1.7611209864535,3.821967038543746,0.19015960985215108
cluster_mean_CU,8,lightgbm,1.6079375817850308,3.5538872769286516,0.2997826707415739
cluster_mean_CU,8,persistence,2.248095380527262,5.246793735064202,-0.5262073474663225
cluster_mean_CU,8,ridge,1.7645939864272109,3.775335467555578,0.2098006764652188
jitterWithGoogleDns,1,dlinear,0.31548639093720077,1.1399942413879278,0.11125496019096251
jitterWithGoogleDns,1,lightgbm,0.3273436948503652,1.145148487398238,0.1032012985951945
jitterWithGoogleDns,1,persistence,0.3527533021743548,1.5004739168026482,-0.5396721842542287
jitterWithGoogleDns,1,ridge,0.3183055339381109,1.1381724191089777,0.1140943371208373
jitterWithGoogleDns,8,dlinear,0.31795760536309126,1.1408688681727206,0.08758062273874634
jitterWithGoogleDns,8,lightgbm,0.3319516238473777,1.1472309484624097,0.0773768418329379
jitterWithGoogleDns,8,persistence,0.3673087426125943,1.531557433696971,-0.6443308994210175
jitterWithGoogleDns,8,ridge,0.3193451191728205,1.1400802841656097,0.0888423760600471
machine01_CU,1,dlinear,3.2875336911064688,10.266963968604887,0.3511197941199863
machine01_CU,1,lightgbm,2.2290406037913932,7.670918913267252,0.6377885367879055
machine01_CU,1,persistence,2.73837543393514,11.387073694460009,0.2018381039912995
machine01_CU,1,ridge,3.42185903771412,9.987110734304002,0.3860309787173769
machine01_CU,4,dlinear,3.849843726535622,12.306567684294246,0.0628493796754608
machine01_CU,4,lightgbm,3.5445469358364226,10.502335008477388,0.3174927912740447
machine01_CU,4,persistence,4.180789322021496,15.779868254031948,-0.5407857518562242
machine01_CU,4,ridge,4.263174622836876,11.95291266286287,0.1159374366516146
machine01_CU,8,dlinear,3.8969673131737927,12.50236164926202,0.04024468244838255
machine01_CU,8,lightgbm,3.917685325677076,11.326597053805989,0.2122737869675519
machine01_CU,8,persistence,4.696030765362197,16.924124628077823,-0.7586881037052742
machine01_CU,8,ridge,4.346543329091583,12.228371850766536,0.0818499342996762
machine01_DWT,1,dlinear,7322796.552226036,31939802.852447055,0.04730639615262015
machine01_DWT,1,lightgbm,7544635.694036999,30121960.353016708,0.1526649583009718
machine01_DWT,1,persistence,6857011.197141383,39901243.313859574,-0.4868308335635465
machine01_DWT,1,ridge,8606602.918814171,31889258.59774897,0.0503194431280965
machine01_DWT,8,dlinear,7938307.246135341,33347110.434141904,-0.034372868064368844
machine01_DWT,8,lightgbm,10560590.552080724,35155432.99108058,-0.1495960256379407
machine01_DWT,8,persistence,8371378.772163442,43396302.34585074,-0.7517244983413249
machine01_DWT,8,ridge,10130928.383230165,33271502.987388287,-0.0296869079098549
machine01_UM,1,dlinear,18469300358.846992,18520045678.466534,-129.65260407340554
machine01_UM,1,lightgbm,314519921.60654324,1229563420.07237,0.4418072396066774
machine01_UM,1,persistence,285279822.75333065,1373040681.3388765,0.3039360512417873
machine01_UM,1,ridge,306134549.4139191,1265366814.9611273,0.4088261540929374
machine01_UM,8,dlinear,2414540720.1778855,6292804452.650677,-21.606244247260765
machine01_UM,8,lightgbm,529257018.87181056,1602301392.481754,0.0532922317231785
machine01_UM,8,persistence,555491113.1400849,2091246687.7643535,-0.6126423204163853
machine01_UM,8,ridge,475551868.0466984,1603572707.5218744,0.051789341814608
machine04_CU,1,dlinear,4.830810088309628,13.7655459593682,0.45321934861409363
machine04_CU,1,lightgbm,3.720173289116228,10.604721672482643,0.6754964311974316
machine04_CU,1,persistence,4.102909698124361,14.877623447555107,0.3613130343957155
machine04_CU,1,ridge,4.42509199949556,12.958762574025284,0.5154395165463036
machine04_CU,8,dlinear,6.493113372205508,16.952826541441887,0.1637097241691916
machine04_CU,8,lightgbm,7.217181962026013,15.270476531206157,0.3214563405139342
